OBJECTID,FIRST_RURB,MUNICIPALI,REGION,ZIPCODE,PROVINCE,KM_DIST,BRGY,OLD_NAME,RUR_URB,DISTRICT,CITY_CLASS,INCOME_CLA,REG_VOTERS,LAND_AREA2,ISLAND1,ISLAND2,ISLAND3,TOTPOP2000,HSEPOP2000,HSEHOLDS20,TOTPOP2007,TOTPOP2010,SHAPE_LENG,SHAPE_AREA,GEOCODE,PGEOCODE
2722,RP072231,MEDELLIN,VII,6012,CEBU,"119",19,MEDELIN,Partially Urban,4th,N,2nd Class,26517,7319,VISAYAS,CEBU ISLAND,Cebu Island,43113,43109,8520,44860,50047,0.00428215219,1.25181e-06,"072231000","072200000"
2723,RP072231,MEDELLIN,VII,6012,CEBU,"119",19,MEDELIN,Partially Urban,4th,N,2nd Class,26517,7319,VISAYAS,CEBU ISLAND,Cebu Island,43113,43109,8520,44860,50047,0.00851306276,2.67381e-06,"072231000","072200000"
2724,RP072231,MEDELLIN,VII,6012,CEBU,"119",19,MEDELIN,Partially Urban,4th,N,2nd Class,26517,7319,VISAYAS,JIBITNIL ISLAND,Jibitnil Island,43113,43109,8520,44860,50047,0.06136513702,0.00019315875,"072231000","072200000"
2725,RP072231,MEDELLIN,VII,6012,CEBU,"119",19,MEDELIN,Partially Urban,4th,N,2nd Class,26517,7319,VISAYAS,CEBU ISLAND,Cebu Island,43113,43109,8520,44860,50047,0.39659589912,0.00632033015,"072231000","072200000"
2726,RP072233,MOALBOAL,VII,6032,CEBU,"089",15,MOALBOAL,Partially Urban,2nd,N,4th Class,17546,12486,VISAYAS,CEBU ISLAND,Cebu Island,23402,23392,4790,27398,27676,0.00554887394,2.04988e-06,"072233000","072200000"
2727,RP072233,MOALBOAL,VII,6032,CEBU,"089",15,MOALBOAL,Partially Urban,2nd,N,4th Class,17546,12486,VISAYAS,CEBU ISLAND,Cebu Island,23402,23392,4790,27398,27676,0.45610769347,0.00600195166,"072233000","072200000"
2730,RP072242,SAN FRANCISCO,VII,6050,CEBU,,15,SAN FRANCISCO,Partially Urban,5th,N,3rd Class,27497,10693,VISAYAS,CAMOTES ISLAND,Talong Island,41327,41319,8189,44588,47357,0.03912362772,5.003973e-05,"160308000","160300000"
2732,RP072247,SOGOD,VII,6007,CEBU,"060",18,SOGOD,Partially Urban,5th,N,"-",18962,11923,VISAYAS,CEBU ISLAND,Cebu Island,27432,27432,5846,28955,30626,0.42971441083,0.00497805026,"086417000","086400000"
2734,RP072252,TUBURAN,VII,6043,CEBU,"097",54,TUBURAN,Partially Urban,3rd,N,2nd Class,32831,22450,VISAYAS,CEBU ISLAND,Cebu Island,51845,51793,11038,53663,58914,0.58509081016,0.01744971555,"150707000","150700000"
2736,RP072253,TUDELA,VII,6051,CEBU,"000",11,TUDELA,Partially Urban,5th,N,5th Class,7527,3302,VISAYAS,CAMOTES ISLAND,Poro Island,10401,10394,2313,11266,9859,0.21440843988,0.00268539183,"104216000","104200000"
2742,RP072215,CARMEN,VII,6005,CEBU,"041",21,CARMEN,Partially Urban,5th,N,3rd Class,27005,8478,VISAYAS,CEBU ISLAND,Cebu Island,37351,37351,7377,41279,44648,0.00395129234,1.01924e-06,"166806000","166800000"
2743,RP072215,CARMEN,VII,6005,CEBU,"041",21,CARMEN,Partially Urban,5th,N,3rd Class,27005,8478,VISAYAS,CEBU ISLAND,Cebu Island,37351,37351,7377,41279,44648,0.00861478256,1.94544e-06,"166806000","166800000"
2744,RP072215,CARMEN,VII,6005,CEBU,"041",21,CARMEN,Partially Urban,5th,N,3rd Class,27005,8478,VISAYAS,CEBU ISLAND,Cebu Island,37351,37351,7377,41279,44648,0.00394624294,9.5385e-07,"166806000","166800000"
2745,RP072215,CARMEN,VII,6005,CEBU,"041",21,CARMEN,Partially Urban,5th,N,3rd Class,27005,8478,VISAYAS,CEBU ISLAND,Cebu Island,37351,37351,7377,41279,44648,0.00271116119,5.0877e-07,"166806000","166800000"
2746,RP072215,CARMEN,VII,6005,CEBU,"041",21,CARMEN,Partially Urban,5th,N,3rd Class,27005,8478,VISAYAS,CEBU ISLAND,Cebu Island,37351,37351,7377,41279,44648,0.39027571586,0.00459312645,"166806000","166800000"
2747,RP072208,BALAMBAN,VII,6041,CEBU,"064",28,BALAMBAN,Partially Urban,3rd,N,1st Class,36602,33356,VISAYAS,CEBU ISLAND,Cebu Island,59922,59856,12190,66261,71237,0.80623766262,0.02358874628,"072208000","072200000"
2748,RP072242,SAN FRANCISCO,VII,6050,CEBU,,15,SAN FRANCISCO,Partially Urban,5th,N,3rd Class,27497,10693,VISAYAS,CAMOTES ISLAND,Pacijan Island,41327,41319,8189,44588,47357,0.52905722768,0.00761001797,"160308000","160300000"
2749,RP072251,TOLEDO CITY,VII,6038,CEBU,"050",38,TOLEDO,Partially Urban,3rd,Y,3rd Class,88086,21628,VISAYAS,CEBU ISLAND,Cebu Island,141174,140909,26771,152960,157078,0.59633598234,0.01635429766,"072251000","072200000"
4306,RP072235,OSLOB,VII,0,CEBU,,0,,,,,,0,0,VISAYAS,CEBU ISLAND,Sumilon Island,856,856,0,894,952,0.02015717289,2.650624e-05,"072235000","072200000"
